Year,ICD10_Code,ICD10_Description,Classification,Metric_Primary,Metric_Secondary,Value
2004/05,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,880
2004/05,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1460
2004/05,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2004/05,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,4420
2004/05,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,140
2004/05,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,240
2004/05,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,170
2004/05,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,410
2004/05,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,30
2004/05,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,70
2004/05,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1920
2004/05,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1280
2004/05,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,5820
2004/05,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,20240
2004/05,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,22210
2004/05,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,680
2004/05,C32,Larynx,Broad,Cancer,Partly attributable chronic,1700
2004/05,C50,Breast,Broad,Cancer,Partly attributable chronic,19160
2004/05,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,27260
2004/05,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,162420
2004/05,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,36870
2004/05,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,1870
2004/05,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,180
2004/05,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,2670
2004/05,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,7420
2004/05,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,4970
2004/05,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,1750
2004/05,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3790
2004/05,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,2390
2004/05,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,6020
2004/05,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1270
2004/05,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,12060
2004/05,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,210
2004/05,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2004/05,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,25620
2004/05,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,5270
2004/05,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,380
2004/05,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4640
2003/04,F10.0,Acute intoxication,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,28120
2003/04,F10.1,Harmful use,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,20700
2003/04,F10.2,Dependence syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,33160
2003/04,F10.3,Withdrawal state,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,10730
2003/04,F10.4,Withdrawal state with delirium,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1270
2003/04,F10.5,Psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,530
2003/04,F10.6,Amnesic syndrome,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,610
2003/04,F10.7,Residual and late-onset psychotic disorder,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,460
2003/04,F10.8,Other mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,100
2003/04,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Broad,Mental and behavioural disorders due to use of alcohol,Wholly attributable,1170
2003/04,K70.0,Alcoholic fatty liver,Broad,Alcoholic liver disease,Wholly attributable,420
2003/04,K70.1,Alcoholic hepatitis,Broad,Alcoholic liver disease,Wholly attributable,1800
2003/04,K70.2,Alcoholic fibrosis and sclerosis of liver,Broad,Alcoholic liver disease,Wholly attributable,200
2003/04,K70.3,Alcoholic cirrhosis of liver,Broad,Alcoholic liver disease,Wholly attributable,8000
2003/04,K70.4,Alcoholic hepatic failure,Broad,Alcoholic liver disease,Wholly attributable,1170
2003/04,K70.9,"Alcoholic liver disease, unspecified",Broad,Alcoholic liver disease,Wholly attributable,17000
2003/04,T51.0,Ethanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,14150
2003/04,T51.1,Methanol poisoning,Broad,Toxic effect of alcohol,Wholly attributable,40
2003/04,T51.9,"Toxic effect of alcohol, unspecified",Broad,Toxic effect of alcohol,Wholly attributable,4190
2003/04,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Broad,Other,Wholly attributable,10
2003/04,G31.2,Degeneration of nervous system due to alcohol,Broad,Other,Wholly attributable,430
2003/04,G62.1,Alcoholic polyneuropathy,Broad,Other,Wholly attributable,220
2003/04,G72.1,Alcoholic myopathy,Broad,Other,Wholly attributable,80
2003/04,I42.6,Alcoholic cardiomyopathy,Broad,Other,Wholly attributable,800
2003/04,K29.2,Alcoholic gastritis,Broad,Other,Wholly attributable,1220
2003/04,K85.2,Alcohol-induced acute pancreatitis,Broad,Other,Wholly attributable,-
2003/04,K86.0,Alcohol-induced chronic pancreatitis,Broad,Other,Wholly attributable,3790
2003/04,Q86.0,Fetal alcohol syndrome (dysmorphic),Broad,Other,Wholly attributable,80
2003/04,R78.0,Excess alcohol blood levels,Broad,Other,Wholly attributable,220
2003/04,X45,Accidental poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,130
2003/04,X65,Intentional self-poisoning by and exposure to alcohol,Broad,Other,Wholly attributable,250
2003/04,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Broad,Other,Wholly attributable,30
2003/04,Y90,Evidence of alcohol involvement determined by blood alcohol level,Broad,Other,Wholly attributable,110
2003/04,Y91,Evidence of alcohol involvement determined by level of intoxication,Broad,Other,Wholly attributable,1660
2003/04,A15-A19,Tuberculosis,Broad,Infectious and parasitic diseases,Partly attributable chronic,1310
2003/04,C00-C14,"Lip, oral cavity and pharynx",Broad,Cancer,Partly attributable chronic,5340
2003/04,C15,Oesophagus,Broad,Cancer,Partly attributable chronic,19920
2003/04,"C18-C20, C21",Colorectal,Broad,Cancer,Partly attributable chronic,22660
2003/04,C22,Liver and intrahepatic bile ducts,Broad,Cancer,Partly attributable chronic,650
2003/04,C32,Larynx,Broad,Cancer,Partly attributable chronic,1640
2003/04,C50,Breast,Broad,Cancer,Partly attributable chronic,18100
2003/04,G40-G41,Epilepsy and Status epilepticus,Broad,Diseases of the nervous system,Partly attributable chronic,24700
2003/04,I10-I15,Hypertensive diseases,Broad,Cardiovascular disease,Partly attributable chronic,135350
2003/04,I47-I48,Cardiac arrhythmias,Broad,Cardiovascular disease,Partly attributable chronic,34020
2003/04,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Broad,Cardiovascular disease,Partly attributable chronic,1950
2003/04,"I63-I66, I69.3-I69.4",Ischaemic stroke,Broad,Cardiovascular disease,Partly attributable chronic,180
2003/04,I85,Oesophageal varices,Broad,Cardiovascular disease,Partly attributable chronic,2660
2003/04,"J10-J11(.0), J12-J15, J18",Pneumonia,Broad,Respiratory infections,Partly attributable chronic,7300
2003/04,"K73, K74",Unspecified liver disease,Broad,Digestive disease,Partly attributable chronic,4560
2003/04,"K85, K86.1",Acute and chronic pancreatitis,Broad,Digestive disease,Partly attributable chronic,1620
2003/04,O03,Spontaneous abortion,Broad,Pregnancy and childbirth,Partly attributable chronic,3630
2003/04,P05-P07,Low birth weight,Broad,Pregnancy and childbirth,Partly attributable chronic,2320
2003/04,?,Road/Ped traffic accidents,Broad,Unintentional injuries,Partly attributable acute,5970
2003/04,X40?X49,Poisoning,Broad,Unintentional injuries,Partly attributable acute,1140
2003/04,W00-W19,Fall injuries,Broad,Unintentional injuries,Partly attributable acute,11490
2003/04,X00-X09,Fire injuries,Broad,Unintentional injuries,Partly attributable acute,200
2003/04,W65-W74,Drowning,Broad,Unintentional injuries,Partly attributable acute,10
2003/04,??,Other unintentional injuries,Broad,Intentional injuries,Partly attributable acute,24650
2003/04,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Broad,Intentional injuries,Partly attributable acute,4870
2003/04,"Y10-Y34, Y87.2",Event of undetermined intent,Broad,Intentional injuries,Partly attributable acute,350
2003/04,"X85-Y09, Y87.1",Assault,Broad,Intentional injuries,Partly attributable acute,4340
2013/14,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,17680
2013/14,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2770
2013/14,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8110
2013/14,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,15860
2013/14,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,790
2013/14,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,270
2013/14,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,300
2013/14,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,110
2013/14,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,30
2013/14,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,210
2013/14,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,180
2013/14,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,2140
2013/14,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,40
2013/14,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,7290
2013/14,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,2660
2013/14,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,4140
2013/14,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,830
2013/14,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,20
2013/14,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,100
2013/14,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2013/14,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,210
2013/14,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,100
2013/14,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,20
2013/14,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,150
2013/14,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1650
2013/14,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,3400
2013/14,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,1720
2013/14,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2013/14,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,10
2013/14,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2540
2013/14,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,32170
2013/14,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,110
2013/14,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,720
2013/14,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1500
2013/14,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,870
2013/14,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,8920
2013/14,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,16200
2013/14,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,20910
2013/14,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,1350
2013/14,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1530
2013/14,C50,Breast,Narrow,Cancer,Partly attributable chronic,25400
2013/14,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9040
2013/14,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,2230
2013/14,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,15870
2013/14,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2540
2013/14,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,260
2013/14,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,4110
2013/14,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,14780
2013/14,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,2440
2013/14,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,6940
2013/14,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3410
2013/14,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2500
2013/14,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,5630
2013/14,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1920
2013/14,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,21740
2013/14,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,180
2013/14,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2013/14,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,44120
2013/14,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7830
2013/14,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,220
2013/14,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,4200
2012/13,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,16610
2012/13,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,3100
2012/13,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,7680
2012/13,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,15010
2012/13,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,900
2012/13,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,290
2012/13,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,300
2012/13,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,150
2012/13,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,30
2012/13,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,220
2012/13,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,180
2012/13,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1980
2012/13,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,30
2012/13,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,7090
2012/13,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,2410
2012/13,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,4500
2012/13,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,920
2012/13,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,30
2012/13,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,120
2012/13,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,0
2012/13,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,260
2012/13,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,110
2012/13,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,20
2012/13,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,140
2012/13,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1710
2012/13,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,3140
2012/13,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,1860
2012/13,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2012/13,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,10
2012/13,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2300
2012/13,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,30460
2012/13,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,100
2012/13,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,550
2012/13,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,950
2012/13,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,940
2012/13,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,8600
2012/13,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,15950
2012/13,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,21210
2012/13,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,1280
2012/13,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1640
2012/13,C50,Breast,Narrow,Cancer,Partly attributable chronic,23990
2012/13,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9050
2012/13,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,2170
2012/13,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,15520
2012/13,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2400
2012/13,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,270
2012/13,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,3750
2012/13,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,14490
2012/13,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,2360
2012/13,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,6600
2012/13,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3450
2012/13,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2610
2012/13,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,5370
2012/13,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1690
2012/13,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,21510
2012/13,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,180
2012/13,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2012/13,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,45620
2012/13,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7360
2012/13,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,220
2012/13,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,4460
2011/12,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,18370
2011/12,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2990
2011/12,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8650
2011/12,F10.3,Withdrawal state,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,15100
2011/12,F10.4,Withdrawal state with delirium,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,920
2011/12,F10.5,Psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,330
2011/12,F10.6,Amnesic syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,240
2011/12,F10.7,Residual and late-onset psychotic disorder,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,160
2011/12,F10.8,Other mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,40
2011/12,F10.9,Unspecified mental and behavioural disorders due to the use of alcohol,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,280
2011/12,K70.0,Alcoholic fatty liver,Narrow,Alcoholic liver disease,Wholly attributable,200
2011/12,K70.1,Alcoholic hepatitis,Narrow,Alcoholic liver disease,Wholly attributable,1900
2011/12,K70.2,Alcoholic fibrosis and sclerosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,60
2011/12,K70.3,Alcoholic cirrhosis of liver,Narrow,Alcoholic liver disease,Wholly attributable,7110
2011/12,K70.4,Alcoholic hepatic failure,Narrow,Alcoholic liver disease,Wholly attributable,2110
2011/12,K70.9,"Alcoholic liver disease, unspecified",Narrow,Alcoholic liver disease,Wholly attributable,5270
2011/12,T51.0,Ethanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,930
2011/12,T51.1,Methanol poisoning,Narrow,Toxic effect of alcohol,Wholly attributable,30
2011/12,T51.9,"Toxic effect of alcohol, unspecified",Narrow,Toxic effect of alcohol,Wholly attributable,160
2011/12,E24.4,Alcohol-induced pseudo-Cushing?s syndrome,Narrow,Other,Wholly attributable,-
2011/12,G31.2,Degeneration of nervous system due to alcohol,Narrow,Other,Wholly attributable,270
2011/12,G62.1,Alcoholic polyneuropathy,Narrow,Other,Wholly attributable,90
2011/12,G72.1,Alcoholic myopathy,Narrow,Other,Wholly attributable,20
2011/12,I42.6,Alcoholic cardiomyopathy,Narrow,Other,Wholly attributable,140
2011/12,K29.2,Alcoholic gastritis,Narrow,Other,Wholly attributable,1790
2011/12,K85.2,Alcohol-induced acute pancreatitis,Narrow,Other,Wholly attributable,-
2011/12,K86.0,Alcohol-induced chronic pancreatitis,Narrow,Other,Wholly attributable,3190
2011/12,Q86.0,Fetal alcohol syndrome (dysmorphic),Narrow,Other,Wholly attributable,10
2011/12,R78.0,Excess alcohol blood levels,Narrow,Other,Wholly attributable,20
2011/12,X45,Accidental poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,2540
2011/12,X65,Intentional self-poisoning by and exposure to alcohol,Narrow,Other,Wholly attributable,32160
2011/12,Y15,"Poisoning by and exposure to alcohol, undetermined intent",Narrow,Other,Wholly attributable,130
2011/12,Y90,Evidence of alcohol involvement determined by blood alcohol level,Narrow,Other,Wholly attributable,430
2011/12,Y91,Evidence of alcohol involvement determined by level of intoxication,Narrow,Other,Wholly attributable,1060
2011/12,A15-A19,Tuberculosis,Narrow,Infectious and parasitic diseases,Partly attributable chronic,1010
2011/12,C00-C14,"Lip, oral cavity and pharynx",Narrow,Cancer,Partly attributable chronic,8460
2011/12,C15,Oesophagus,Narrow,Cancer,Partly attributable chronic,15890
2011/12,"C18-C20, C21",Colorectal,Narrow,Cancer,Partly attributable chronic,21330
2011/12,C22,Liver and intrahepatic bile ducts,Narrow,Cancer,Partly attributable chronic,1260
2011/12,C32,Larynx,Narrow,Cancer,Partly attributable chronic,1580
2011/12,C50,Breast,Narrow,Cancer,Partly attributable chronic,24310
2011/12,G40-G41,Epilepsy and Status epilepticus,Narrow,Diseases of the nervous system,Partly attributable chronic,9500
2011/12,I10-I15,Hypertensive diseases,Narrow,Cardiovascular disease,Partly attributable chronic,6820
2011/12,I47-I48,Cardiac arrhythmias,Narrow,Cardiovascular disease,Partly attributable chronic,15230
2011/12,"I60-I62, I69.0-I69.2",Haemorrhagic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,2460
2011/12,"I63-I66, I69.3-I69.4",Ischaemic stroke,Narrow,Cardiovascular disease,Partly attributable chronic,260
2011/12,I85,Oesophageal varices,Narrow,Cardiovascular disease,Partly attributable chronic,3610
2011/12,"J10-J11(.0), J12-J15, J18",Pneumonia,Narrow,Respiratory infections,Partly attributable chronic,12660
2011/12,"K73, K74",Unspecified liver disease,Narrow,Digestive disease,Partly attributable chronic,2700
2011/12,"K85, K86.1",Acute and chronic pancreatitis,Narrow,Digestive disease,Partly attributable chronic,1300
2011/12,O03,Spontaneous abortion,Narrow,Pregnancy and childbirth,Partly attributable chronic,3660
2011/12,P05-P07,Low birth weight,Narrow,Pregnancy and childbirth,Partly attributable chronic,2590
2011/12,?,Road/Ped traffic accidents,Narrow,Unintentional injuries,Partly attributable acute,5780
2011/12,X40?X49,Poisoning,Narrow,Unintentional injuries,Partly attributable acute,1670
2011/12,W00-W19,Fall injuries,Narrow,Unintentional injuries,Partly attributable acute,23810
2011/12,X00-X09,Fire injuries,Narrow,Unintentional injuries,Partly attributable acute,210
2011/12,W65-W74,Drowning,Narrow,Unintentional injuries,Partly attributable acute,20
2011/12,??,Other unintentional injuries,Narrow,Intentional injuries,Partly attributable acute,45490
2011/12,"X60-X84, Y87.0 (excl X65)",Intentional self-harm,Narrow,Intentional injuries,Partly attributable acute,7800
2011/12,"Y10-Y34, Y87.2",Event of undetermined intent,Narrow,Intentional injuries,Partly attributable acute,260
2011/12,"X85-Y09, Y87.1",Assault,Narrow,Intentional injuries,Partly attributable acute,5240
2010/11,F10.0,Acute intoxication,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,18490
2010/11,F10.1,Harmful use,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,2850
2010/11,F10.2,Dependence syndrome,Narrow,Mental and behavioural disorders due to use of alcohol,Wholly attributable,8970
